epoch,lr-Adam,step,train/loss,val/loss,val/psnr,val/ssim
0,,39,,0.2256927192211151,7.179171562194824,0.3689213991165161
,9.969804777275901e-06,49,,,,
0,,49,0.308452308177948,,,
0,,79,,0.22085276246070862,7.287674903869629,0.37066060304641724
,9.8771239647055e-06,99,,,,
0,,99,0.21903671324253082,,,
0,,119,,0.21561841666698456,7.40228796005249,0.3733062148094177
,9.723110488505686e-06,149,,,,
0,,149,0.25651228427886963,,,
0,,159,,0.21152977645397186,7.493559837341309,0.3754343092441559
,9.509701157500378e-06,199,,,,
0,,199,0.19852325320243835,,,
0,,199,,0.20747680962085724,7.585052967071533,0.37798744440078735
,9.239579717849941e-06,249,,,,
1,,249,0.2393684685230255,,,
1,,249,,0.2029871940612793,7.693976402282715,0.3792411684989929
1,,289,,0.20038847625255585,7.751575469970703,0.3808009922504425
,8.91614310338609e-06,299,,,,
1,,299,0.30005189776420593,,,
1,,329,,0.1961466372013092,7.859116077423096,0.3826037049293518
,8.543458717198008e-06,349,,,,
1,,349,0.25395238399505615,,,
1,,369,,0.19338124990463257,7.925652980804443,0.3836803436279297
,8.126213281678524e-06,399,,,,
1,,399,0.14192834496498108,,,
1,,409,,0.19088873267173767,7.988065719604492,0.3845793604850769
,7.669653900270732e-06,449,,,,
2,,449,0.31122124195098877,,,
2,,459,,0.188829705119133,8.03625202178955,0.38603442907333374
,7.179522072097769e-06,499,,,,
2,,499,0.2750817537307739,,,
2,,499,,0.18574783205986023,8.120223999023438,0.3853922486305237
2,,539,,0.1837833970785141,8.170975685119629,0.38681039214134216
,6.66198148928001e-06,549,,,,
2,,549,0.15912429988384247,,,
2,,579,,0.18189188838005066,8.220799446105957,0.38750022649765015
,6.123540524930434e-06,599,,,,
2,,599,0.1395649015903473,,,
2,,619,,0.17973455786705017,8.280716896057129,0.3876451253890991
,5.570970386586464e-06,649,,,,
3,,649,0.23112885653972626,,,
3,,669,,0.17929325997829437,8.286783218383789,0.3888855278491974
,5.011219964346432e-06,699,,,,
3,,699,0.25034990906715393,,,
3,,709,,0.17695558071136475,8.35389518737793,0.3893313407897949
,4.451328444544775e-06,749,,,,
3,,749,0.27454179525375366,,,
3,,749,,0.1758183091878891,8.384754180908203,0.38974249362945557
3,,789,,0.17417217791080475,8.433614730834961,0.3910519480705261
,3.898336787899613e-06,799,,,,
3,,799,0.09393467754125595,,,
3,,829,,0.1733519583940506,8.454792976379395,0.39108535647392273
,3.3591991853464986e-06,849,,,,
4,,849,0.24222087860107422,,,
4,,879,,0.1721675544977188,8.489859580993652,0.39172226190567017
,2.840695605052457e-06,899,,,,
4,,899,0.16552086174488068,,,
4,,919,,0.17235152423381805,8.480770111083984,0.3921472430229187
,2.349346530382476e-06,949,,,,
4,,949,0.2538892328739166,,,
4,,959,,0.17111411690711975,8.517742156982422,0.392969012260437
,1.8913309610379024e-06,999,,,,
4,,999,0.24776048958301544,,,
4,,999,,0.17064698040485382,8.53133773803711,0.3934384882450104
4,,1039,,0.17005786299705505,8.549156188964844,0.39319729804992676
,1.4724087085500637e-06,1049,,,,
4,,1049,0.243019700050354,,,
5,,1089,,0.16975855827331543,8.557311058044434,0.39378464221954346
,1.0978479633083517e-06,1099,,,,
5,,1099,0.19793854653835297,,,
5,,1129,,0.16968783736228943,8.55847454071045,0.3939448893070221
,7.723590440093866e-07,1149,,,,
5,,1149,0.18400128185749054,,,
5,,1169,,0.16940106451511383,8.567121505737305,0.39409714937210083
,5.000351626664198e-07,1199,,,,
5,,1199,0.19066666066646576,,,
5,,1209,,0.16935695707798004,8.568109512329102,0.3941431939601898
,2.8430095009333925e-07,1249,,,,
5,,1249,0.21444925665855408,,,
5,,1249,,0.1691434383392334,8.575040817260742,0.3939516842365265
,1.2786938918515568e-07,1299,,,,
6,,1299,0.25121009349823,,,
6,,1299,,0.16889889538288116,8.583106994628906,0.39397504925727844
6,,1339,,0.16897743940353394,8.580256462097168,0.3940074145793915
,3.2707697583995194e-08,1349,,,,
6,,1349,0.21478083729743958,,,
6,,1379,,0.16899046301841736,8.579766273498535,0.3940092623233795
,1.2588775841204669e-11,1399,,,,
6,,1399,0.20822866261005402,,,
