epoch,lr-Adam,step,train/loss,val/loss,val/psnr,val/ssim
0,,39,,0.291674941778183,5.924983024597168,0.3283292353153229
,9.98519673522304e-06,49,,,,
0,,49,0.3629927337169647,,,
0,,79,,0.2725980877876282,6.25738000869751,0.34002333879470825
,9.939664243328787e-06,99,,,,
0,,99,0.26407355070114136,,,
0,,119,,0.2570696473121643,6.543500900268555,0.35017964243888855
,9.86367707876936e-06,149,,,,
0,,149,0.2899262011051178,,,
0,,159,,0.2462129145860672,6.755920886993408,0.3570556938648224
,9.757703727682576e-06,199,,,,
0,,199,0.2180558145046234,,,
0,,199,,0.23675969243049622,6.946147918701172,0.3621741533279419
,9.622397551017595e-06,249,,,,
1,,249,0.2687636613845825,,,
1,,249,,0.22802230715751648,7.132147312164307,0.36649149656295776
1,,289,,0.22248415648937225,7.252288818359375,0.3695998787879944
,9.458592756347422e-06,299,,,,
1,,299,0.3343409299850464,,,
1,,329,,0.21746937930583954,7.363913059234619,0.37173688411712646
,9.267299254701829e-06,349,,,,
1,,349,0.275564581155777,,,
1,,369,,0.21327705681324005,7.457906723022461,0.37344151735305786
,9.049696434129996e-06,399,,,,
1,,399,0.15908926725387573,,,
1,,409,,0.20949938893318176,7.5408034324646,0.3762904703617096
,8.80712588838104e-06,449,,,,
2,,449,0.3394086956977844,,,
2,,459,,0.20519201457500458,7.641356468200684,0.37833163142204285
,8.541083145532389e-06,499,,,,
2,,499,0.29721271991729736,,,
2,,499,,0.2018180638551712,7.724770545959473,0.37807247042655945
2,,539,,0.19876128435134888,7.796369552612305,0.3809179365634918
,8.2532084475619e-06,549,,,,
2,,549,0.17424222826957703,,,
2,,579,,0.19599619507789612,7.867471218109131,0.3806760013103485
,7.945276637710592e-06,599,,,,
2,,599,0.14887578785419464,,,
2,,619,,0.19302606582641602,7.93735933303833,0.3829474449157715
,7.619186217983934e-06,649,,,,
3,,649,0.24581055343151093,,,
3,,669,,0.1903265118598938,8.003277778625488,0.3845680356025696
,7.27694764425561e-06,699,,,,
3,,699,0.26699718832969666,,,
3,,709,,0.18772748112678528,8.069869041442871,0.38471609354019165
,6.9206709311385206e-06,749,,,,
3,,749,0.2878381907939911,,,
3,,749,,0.18549595773220062,8.128876686096191,0.3850620985031128
3,,789,,0.18331579864025116,8.187612533569336,0.38666588068008423
,6.55255264304307e-06,799,,,,
3,,799,0.09826767444610596,,,
3,,829,,0.18153640627861023,8.233667373657227,0.38693851232528687
,6.174862351627115e-06,849,,,,
4,,849,0.25232744216918945,,,
4,,879,,0.1799376904964447,8.275053024291992,0.38803184032440186
,5.789928643131999e-06,899,,,,
4,,899,0.17307011783123016,,,
4,,919,,0.1778104156255722,8.335430145263672,0.38869041204452515
,5.40012476187405e-06,949,,,,
4,,949,0.2617883086204529,,,
4,,959,,0.17647431790828705,8.370587348937988,0.3890535533428192
,5.007853978404163e-06,999,,,,
4,,999,0.2549594044685364,,,
4,,999,,0.17525489628314972,8.403141021728516,0.39032721519470215
4,,1039,,0.1738232672214508,8.444631576538086,0.3907695710659027
,4.615534772545695e-06,1049,,,,
4,,1049,0.247016042470932,,,
5,,1089,,0.17267584800720215,8.475458145141602,0.39211371541023254
,4.225585922662147e-06,1099,,,,
5,,1099,0.20134487748146057,,,
5,,1129,,0.1726394146680832,8.473215103149414,0.39231568574905396
,3.840411593084204e-06,1149,,,,
5,,1149,0.18596352636814117,,,
5,,1169,,0.17089611291885376,8.524833679199219,0.39253154397010803
,3.462386511637166e-06,1199,,,,
5,,1199,0.19184859097003937,,,
5,,1209,,0.16964276134967804,8.562973022460938,0.3923039734363556
,3.093841328654256e-06,1249,,,,
5,,1249,0.21505707502365112,,,
5,,1249,,0.16906854510307312,8.580118179321289,0.39195042848587036
,2.737048247742274e-06,1299,,,,
6,,1299,0.25000128149986267,,,
6,,1299,,0.16832692921161652,8.599705696105957,0.3932015597820282
6,,1339,,0.16780467331409454,8.614102363586426,0.39492732286453247
,2.3942070168907783e-06,1349,,,,
6,,1349,0.2133587747812271,,,
6,,1379,,0.16740599274635315,8.625022888183594,0.3942900598049164
,2.0674313662942507e-06,1399,,,,
6,,1399,0.20588374137878418,,,
6,,1419,,0.1665094792842865,8.653100967407227,0.3941957950592041
,1.7587359765025447e-06,1449,,,,
6,,1449,0.23756006360054016,,,
6,,1459,,0.16564083099365234,8.682772636413574,0.39447832107543945
,1.470024057245363e-06,1499,,,,
7,,1499,0.24028617143630981,,,
7,,1509,,0.16598358750343323,8.667028427124023,0.394589364528656
,1.2030756135113787e-06,1549,,,,
7,,1549,0.16566064953804016,,,
7,,1549,,0.16562515497207642,8.678165435791016,0.3947552442550659
7,,1589,,0.165516197681427,8.680795669555664,0.3954431116580963
,9.59536471225578e-07,1599,,,,
7,,1599,0.1925971806049347,,,
7,,1629,,0.1653589904308319,8.685121536254883,0.39507317543029785
,7.409081301851373e-07,1649,,,,
7,,1649,0.207826629281044,,,
7,,1669,,0.1646968424320221,8.706987380981445,0.3955279588699341
,5.485385068138719e-07,1699,,,,
8,,1699,0.15680989623069763,,,
8,,1719,,0.16456742584705353,8.710697174072266,0.39565202593803406
,3.836136238092556e-07,1749,,,,
8,,1749,0.20678366720676422,,,
8,,1759,,0.1645660698413849,8.710144996643066,0.39559704065322876
,2.4715029791810145e-07,1799,,,,
8,,1799,0.19915097951889038,,,
8,,1799,,0.16446520388126373,8.713277816772461,0.39557158946990967
8,,1839,,0.164454847574234,8.713451385498047,0.3955734670162201
,1.3998987092318749e-07,1849,,,,
8,,1849,0.13866932690143585,,,
8,,1879,,0.1644476354122162,8.713556289672852,0.3956278860569
,6.279302249139593e-08,1899,,,,
9,,1899,0.23409277200698853,,,
9,,1929,,0.16439051926136017,8.715465545654297,0.3956491947174072
,1.603569686386699e-08,1949,,,,
9,,1949,0.22100116312503815,,,
9,,1969,,0.1643959879875183,8.715251922607422,0.3956436514854431
,6.168501482384245e-12,1999,,,,
9,,1999,0.27935880422592163,,,
